^AthleteID^|^ActivityID^|^StartTime^|^TotalElapsedTime^|^TotalDistanceMeters^|^MaxSpeedMPH^|^MeasuredTime^|^Latitude^|^Longitude^|^AltitudeMeters^|^DistanceMeters^|^CurrentSpeedMPH^|^CurrentGrade^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:50:32^|^47.663058^|^-122.045852^|^111.5^|^68.9^|^0.2^|^-1.2^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:50:34^|^47.663056^|^-122.045773^|^111.5^|^74.8^|^0.4^|^1.9^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:50:35^|^47.663056^|^-122.045729^|^111.9^|^78.0^|^0.4^|^1.7^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:50:36^|^47.663052^|^-122.045689^|^112.0^|^81.1^|^0.4^|^0.0^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:50:38^|^47.663038^|^-122.045616^|^111.8^|^86.8^|^6.7^|^-1.7^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:50:40^|^47.663014^|^-122.045551^|^111.5^|^92.4^|^6.5^|^-3.0^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:50:42^|^47.662999^|^-122.045506^|^111.6^|^96.1^|^5.6^|^-4.4^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:50:44^|^47.662962^|^-122.045472^|^111.4^|^100.9^|^5.4^|^-2.9^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:50:45^|^47.662926^|^-122.04546^|^111.0^|^105.1^|^5.6^|^-3.3^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:50:46^|^47.662886^|^-122.045453^|^111.0^|^109.5^|^6.3^|^-3.7^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:50:47^|^47.662845^|^-122.045447^|^111.0^|^114.2^|^8.1^|^-2.9^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:50:48^|^47.662795^|^-122.045445^|^110.7^|^119.6^|^8.7^|^-8.4^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:50:49^|^47.662742^|^-122.045439^|^110.4^|^125.5^|^11.0^|^-8.9^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:50:50^|^47.662635^|^-122.045394^|^108.6^|^138.0^|^14.8^|^-9.4^
