^AthleteID^|^RideID^|^RideDate^|^RideName^|^Distance^|^Total_Elevation_Gain^|^Lat^|^Lon^
^750228^|^898043643^|^2017-03-12^|^'SVT'^|^14.5^|^0^|^47.74^|^-121.988^|^24671.212^
^750228^|^887687658^|^2017-03-04^|^'SVT + Mystery Social Trails'^|^15.7^|^610^|^47.57^|^-121.888^|^24640.712^
^750228^|^885717900^|^2017-03-02^|^'Grand Ridge'^|^10.2^|^1136^|^47.53^|^-122.025^|^24633.375^
^750228^|^879690175^|^2017-02-25^|^'Tiger - Lower Predator + The Legend '^|^11.5^|^1998^|^47.468^|^-121.936^|^24622.304^
^750228^|^877548483^|^2017-02-23^|^'Duthie '^|^8.4^|^565^|^47.584^|^-121.977^|^24643.143^
^750228^|^871398066^|^2017-02-18^|^'Duthie '^|^8.6^|^514^|^47.573^|^-121.988^|^24641.152^
^750228^|^870081003^|^2017-02-17^|^'Soaring Eagle '^|^7.5^|^634^|^47.612^|^-121.991^|^24648.169^
^750228^|^869149961^|^2017-02-16^|^'Paradise '^|^6.8^|^205^|^47.789^|^-122.08^|^24679.94^
^750228^|^866545969^|^2017-02-14^|^'SVT'^|^14.3^|^0^|^47.74^|^-121.988^|^24671.212^
^750228^|^864392855^|^2017-02-12^|^'Tapeworm '^|^6.4^|^375^|^47.473^|^-122.196^|^24622.944^
^750228^|^863096989^|^2017-02-11^|^'SRT'^|^16.3^|^0^|^47.734^|^-122.145^|^24669.975^
^750228^|^853382359^|^2017-02-02^|^'Soaring Eagle '^|^12.6^|^862^|^47.612^|^-121.991^|^24648.169^
^750228^|^850949461^|^2017-01-31^|^'SRT/Burke-Gilman'^|^19.1^|^100^|^47.704^|^-122.142^|^24664.578^
^750228^|^848753660^|^2017-01-29^|^'Tapeworm '^|^6.6^|^360^|^47.473^|^-122.195^|^24622.945^
^750228^|^846288786^|^2017-01-27^|^'Paradise '^|^6.7^|^290^|^47.788^|^-122.08^|^24679.76^
^750228^|^845550787^|^2017-01-26^|^'Duthie'^|^7.5^|^461^|^47.584^|^-121.977^|^24643.143^
^750228^|^842832603^|^2017-01-24^|^'St Eds'^|^6.2^|^412^|^47.733^|^-122.256^|^24669.684^
^750228^|^842044423^|^2017-01-23^|^'SRT/Burke-Gilman'^|^10.0^|^50^|^47.704^|^-122.141^|^24664.579^
^750228^|^839792480^|^2017-01-21^|^'Stinky Spoke 2017'^|^30.2^|^1948^|^47.664^|^-122.046^|^24657.474^
^750228^|^837816979^|^2017-01-19^|^'Grand Ridge '^|^9.9^|^1180^|^47.53^|^-122.026^|^24633.374^
^750228^|^833276678^|^2017-01-15^|^'Paradise '^|^10.5^|^345^|^47.789^|^-122.08^|^24679.94^
^750228^|^830208325^|^2017-01-12^|^'Tolt-Mac'^|^9.7^|^840^|^47.641^|^-121.917^|^24653.463^
